Country,Latitude,Longitude,Date,confirmed,recovered,Deaths,active_cases,new_cases,new_deaths
Germany,51.165690999999995,10.451526,2020-03-09,1176,18,2,1158,136.0,2.0
Germany,51.165690999999995,10.451526,2020-03-10,1457,18,2,1439,281.0,0.0
Germany,51.165690999999995,10.451526,2020-03-11,1908,25,3,1883,451.0,1.0
Germany,51.165690999999995,10.451526,2020-03-12,2078,25,3,2053,170.0,0.0
Germany,51.165690999999995,10.451526,2020-03-13,3675,46,7,3629,1597.0,4.0
Germany,51.165690999999995,10.451526,2020-03-14,4585,46,9,4539,910.0,2.0
Germany,51.165690999999995,10.451526,2020-03-15,5795,46,11,5749,1210.0,2.0
Germany,51.165690999999995,10.451526,2020-03-16,7272,67,17,7205,1477.0,6.0
Germany,51.165690999999995,10.451526,2020-03-17,9257,67,24,9190,1985.0,7.0
Germany,51.165690999999995,10.451526,2020-03-18,12327,105,28,12222,3070.0,4.0
Germany,51.165690999999995,10.451526,2020-03-19,15320,113,44,15207,2993.0,16.0
Germany,51.165690999999995,10.451526,2020-03-20,19848,180,67,19668,4528.0,23.0
Germany,51.165690999999995,10.451526,2020-03-21,22213,233,84,21980,2365.0,17.0
Germany,51.165690999999995,10.451526,2020-03-22,24873,266,94,24607,2660.0,10.0
Germany,51.165690999999995,10.451526,2020-03-23,29056,266,123,28790,4183.0,29.0
Germany,51.165690999999995,10.451526,2020-03-24,32986,3243,157,29743,3930.0,34.0
Germany,51.165690999999995,10.451526,2020-03-25,37323,3547,206,33776,4337.0,49.0
Germany,51.165690999999995,10.451526,2020-03-26,43938,5673,267,38265,6615.0,61.0
Germany,51.165690999999995,10.451526,2020-03-27,50871,6658,342,44213,6933.0,75.0
Germany,51.165690999999995,10.451526,2020-03-28,57695,8481,433,49214,6824.0,91.0
Germany,51.165690999999995,10.451526,2020-03-29,62095,9211,533,52884,4400.0,100.0
Germany,51.165690999999995,10.451526,2020-03-30,66885,13500,645,53385,4790.0,112.0
Germany,51.165690999999995,10.451526,2020-03-31,71808,16100,775,55708,4923.0,130.0
Germany,51.165690999999995,10.451526,2020-04-01,77872,18700,920,59172,6064.0,145.0
Germany,51.165690999999995,10.451526,2020-04-02,84794,22440,1107,62354,6922.0,187.0
Germany,51.165690999999995,10.451526,2020-04-03,91159,24575,1275,66584,6365.0,168.0
Germany,51.165690999999995,10.451526,2020-04-04,96092,26400,1444,69692,4933.0,169.0
Germany,51.165690999999995,10.451526,2020-04-05,100123,28700,1584,71423,4031.0,140.0
Germany,51.165690999999995,10.451526,2020-04-06,103374,28700,1810,74674,3251.0,226.0
Germany,51.165690999999995,10.451526,2020-04-07,107663,36081,2016,71582,4289.0,206.0
Germany,51.165690999999995,10.451526,2020-04-08,113296,46300,2349,66996,5633.0,333.0
Germany,51.165690999999995,10.451526,2020-04-09,118181,52407,2607,65774,4885.0,258.0
Germany,51.165690999999995,10.451526,2020-04-10,122171,53913,2767,68258,3990.0,160.0
Germany,51.165690999999995,10.451526,2020-04-11,124908,57400,2736,67508,2737.0,-31.0
Germany,51.165690999999995,10.451526,2020-04-12,127854,60300,3022,67554,2946.0,286.0
Germany,51.165690999999995,10.451526,2020-04-13,130072,64300,3194,65772,2218.0,172.0
Germany,51.165690999999995,10.451526,2020-04-14,131359,68200,3294,63159,1287.0,100.0
Germany,51.165690999999995,10.451526,2020-04-15,134753,72600,3804,62153,3394.0,510.0
Germany,51.165690999999995,10.451526,2020-04-16,137698,77000,4052,60698,2945.0,248.0
Germany,51.165690999999995,10.451526,2020-04-17,141397,83114,4352,58283,3699.0,300.0
Germany,51.165690999999995,10.451526,2020-04-18,143342,85400,4459,57942,1945.0,107.0
Germany,51.165690999999995,10.451526,2020-04-19,145184,88000,4586,57184,1842.0,127.0
Germany,51.165690999999995,10.451526,2020-04-20,147065,91500,4862,55565,1881.0,276.0
Germany,51.165690999999995,10.451526,2020-04-21,148291,95200,5033,53091,1226.0,171.0
Germany,51.165690999999995,10.451526,2020-04-22,150648,99400,5279,51248,2357.0,246.0
Germany,51.165690999999995,10.451526,2020-04-23,153129,103300,5575,49829,2481.0,296.0
Germany,51.165690999999995,10.451526,2020-04-24,154999,109800,5760,45199,1870.0,185.0
Germany,51.165690999999995,10.451526,2020-04-25,156513,109800,5877,46713,1514.0,117.0
Germany,51.165690999999995,10.451526,2020-04-26,157770,112000,5976,45770,1257.0,99.0
Germany,51.165690999999995,10.451526,2020-04-27,158758,114500,6126,44258,988.0,150.0
Germany,51.165690999999995,10.451526,2020-04-28,159912,117400,6314,42512,1154.0,188.0
Germany,51.165690999999995,10.451526,2020-04-29,161539,120400,6467,41139,1627.0,153.0
Germany,51.165690999999995,10.451526,2020-04-30,163009,123500,6623,39509,1470.0,156.0
Germany,51.165690999999995,10.451526,2020-05-01,164077,126900,6736,37177,1068.0,113.0
Germany,51.165690999999995,10.451526,2020-05-02,164967,129000,6812,35967,890.0,76.0
Germany,51.165690999999995,10.451526,2020-05-03,165664,130600,6866,35064,697.0,54.0
Germany,51.165690999999995,10.451526,2020-05-04,166152,132700,6993,33452,488.0,127.0
Germany,51.165690999999995,10.451526,2020-05-05,167007,135100,6993,31907,855.0,0.0
Germany,51.165690999999995,10.451526,2020-05-06,168162,139900,7275,28262,1155.0,282.0
Germany,51.165690999999995,10.451526,2020-05-07,169430,141700,7392,27730,1268.0,117.0
Germany,51.165690999999995,10.451526,2020-05-08,170588,141700,7510,28888,1158.0,118.0
Germany,51.165690999999995,10.451526,2020-05-09,171324,143300,7549,28024,736.0,39.0
Germany,51.165690999999995,10.451526,2020-05-10,171879,144400,7569,27479,555.0,20.0
Germany,51.165690999999995,10.451526,2020-05-11,172576,145617,7661,26959,697.0,92.0
Germany,51.165690999999995,10.451526,2020-05-12,173171,147200,7738,25971,595.0,77.0
Germany,51.165690999999995,10.451526,2020-05-13,174098,148700,7861,25398,927.0,123.0
Germany,51.165690999999995,10.451526,2020-05-14,174478,150300,7884,24178,380.0,23.0
Germany,51.165690999999995,10.451526,2020-05-15,175233,151597,7897,23636,755.0,13.0
Germany,51.165690999999995,10.451526,2020-05-16,175752,152600,7938,23152,519.0,41.0
Germany,51.165690999999995,10.451526,2020-05-17,176369,154011,7962,22358,617.0,24.0
Germany,51.165690999999995,10.451526,2020-05-18,176551,155041,8003,21510,182.0,41.0
Germany,51.165690999999995,10.451526,2020-05-19,177778,155681,8081,22097,1227.0,78.0
Germany,51.165690999999995,10.451526,2020-05-20,178473,156966,8144,21507,695.0,63.0
Germany,51.165690999999995,10.451526,2020-05-21,179021,158087,8203,20934,548.0,59.0
Germany,51.165690999999995,10.451526,2020-05-22,179710,159064,8228,20646,689.0,25.0
Germany,51.165690999999995,10.451526,2020-05-23,179986,159716,8261,20270,276.0,33.0
Germany,51.165690999999995,10.451526,2020-05-24,180328,160281,8283,20047,342.0,22.0
Germany,51.165690999999995,10.451526,2020-05-25,180600,161199,8309,19401,272.0,26.0
Germany,51.165690999999995,10.451526,2020-05-26,181200,161967,8372,19233,600.0,63.0
Germany,51.165690999999995,10.451526,2020-05-27,181524,162820,8428,18704,324.0,56.0
Germany,51.165690999999995,10.451526,2020-05-28,182196,163360,8470,18836,672.0,42.0
Germany,51.165690999999995,10.451526,2020-05-29,182922,164245,8504,18677,726.0,34.0
Germany,51.165690999999995,10.451526,2020-05-30,183189,164908,8530,18281,267.0,26.0
Germany,51.165690999999995,10.451526,2020-05-31,183410,165352,8540,18058,221.0,10.0
Germany,51.165690999999995,10.451526,2020-06-01,183594,165632,8555,17962,184.0,15.0
Germany,51.165690999999995,10.451526,2020-06-02,183879,166609,8563,17270,285.0,8.0
Germany,51.165690999999995,10.451526,2020-06-03,184121,167453,8602,16668,242.0,39.0
Germany,51.165690999999995,10.451526,2020-06-04,184472,167909,8635,16563,351.0,33.0
Germany,51.165690999999995,10.451526,2020-06-05,184924,168480,8658,16444,452.0,23.0
Germany,51.165690999999995,10.451526,2020-06-06,185450,168958,8673,16492,526.0,15.0
Germany,51.165690999999995,10.451526,2020-06-07,185750,169224,8685,16526,300.0,12.0
Germany,51.165690999999995,10.451526,2020-06-08,186109,169556,8695,16553,359.0,10.0
Germany,51.165690999999995,10.451526,2020-06-09,186506,170129,8736,16377,397.0,41.0
Germany,51.165690999999995,10.451526,2020-06-10,186522,170630,8752,15892,16.0,16.0
